"動畫名","總觀看數","平均觀看數","年份","月份","集數","星級","評分人數","導演監督","製作廠商","作品分類1","作品分類2","作品分類3","作品分類4","作品分類5","作品分類6","原作載體","新續作"
"魔法水果籃 第二季",1927000,77080,"2020","春番",25,"4.9",1999,"井端義秀","TMS Entertainment","奇幻","校園","戀愛","溫馨","親情",NULL,"漫畫改編","續作"
"放學後堤防日誌",805000,67083,"2020","春番",12,"4.9",2378,"大隈孝晴","動画工房","校園","喜劇","青春","闔家觀賞",NULL,NULL,"漫畫改編","新作"
"隱瞞之事",1579000,131583,"2020","春番",12,"4.9",6418,"村野佑太","亞細亞堂","溫馨","親情","感人","職場",NULL,NULL,"漫畫改編","新作"
"昨日之歌",927000,51500,"2020","春番",18,"4.7",2207,"藤原佳幸","動畫工房","戀愛","青春",NULL,NULL,NULL,NULL,"漫畫改編","新作"
"BanG Dream！第三季",756000,58154,"2020","冬番",13,"4.9",2173,"柿本広大","三次元","青春","勵志","音樂",NULL,NULL,NULL,"原創作品","續作"
"富豪刑警 Balance: UNLIMITED",1338000,121636,"2020","春番",11,"4.8",3769,"伊藤智彥","CloverWorks","動作","職場","懸疑",NULL,NULL,NULL,"小說改編","新作"
"食戟之靈 豪之皿",1807000,139000,"2020","春番",13,"4.6",1494,"米谷良知","J.C.STAFF","校園","料理",NULL,NULL,NULL,NULL,"漫畫改編","續作"
"貓娘樂園",1022000,85167,"2020","冬番",12,"4.8",2665,"山本靖貴","FelixFilm","溫馨","職場",NULL,NULL,NULL,NULL,"遊戲改編","新作"
"繼怪怪守護神",897000,74750,"2020","春番",12,"4.9",2036,"倉谷涼一","ZERO-G","校園","靈異神怪",NULL,NULL,NULL,NULL,"漫畫改編","新作"
"22/7",454000,34923,"2020","冬番",13,"4.5",1126,"阿保孝雄","A-1 Pictures","勵志","偶像","音樂",NULL,NULL,NULL,"原創作品","新作"
"請在伸展台上微笑",678000,56500,"2020","冬番",12,"4.9",2138,"長山延好","Ezo'la","勵志","職場",NULL,NULL,NULL,NULL,"漫畫改編","新作"
"虛構推理",1622000,135167,"2020","冬番",12,"4.7",3825,"後藤圭二","Brain's Base","超能力","推理","靈異神怪",NULL,NULL,NULL,"小說改編","續作"
"王者天下 第四季",1179000,45346,"2022","春番",26,"4.8",1879,"今泉賢一","St.Signpost","歷史","戰爭",NULL,NULL,NULL,NULL,"漫畫改編","續作"
"魔王學院的不適任者～史上最強的魔王始祖，轉生就讀子孫們的學校～",6399000,492231,"2020","夏番",13,"4.7",9455,"大沼心、田村正文","SILVER LINK.","奇幻","異世界","魔法","校園",NULL,NULL,"小說改編","續作"
"魔法紀錄 魔法少女小圓外傳 第二季",378000,29077,"2021","夏番",13,"4.4",1200,"劇団イヌカレー（泥犬）、宮本幸裕","SHAFT","冒險","奇幻","魔法","黑暗",NULL,NULL,"遊戲改編","續作"
"強襲魔女 通往柏林之路",372000,31000,"2020","秋番",12,"4.9",972,"高村和宏","david production","魔法","科幻","戰爭",NULL,NULL,NULL,"原創作品","續作"
"入間同學入魔了！第三季",2209000,105190,"2022","秋番",21,"4.9",7232,"森脇真琴","Bandai Namco Pictures","冒險","奇幻","校園","喜劇","靈異神怪",NULL,"漫畫改編","續作"
"達爾文遊戲",3708000,285231,"2020","冬番",13,"4.8",5745,"德本善信","Nexus","動作","超能力","競技","懸疑","血腥暴力",NULL,"漫畫改編","新作"
"戀愛中的小行星",581000,44692,"2020","冬番",13,"4.9",2496,"平牧大輔","動画工房","校園","青春",NULL,NULL,NULL,NULL,"漫畫改編","新作"
"〈Infinite Dendrogram〉-無盡連鎖-",1496000,115077,"2020","冬番",13,"4",1463,"小林智樹","NAZ","動作","冒險","奇幻",NULL,NULL,NULL,"改編作品","新作"
"別對映像研出手！",970000,80833,"2020","冬番",12,"4.9",4505,"湯淺政明","SCIENCE SARU INC.","校園","青春","職場",NULL,NULL,NULL,"漫畫改編","新作"
"神推偶像登上武道館我就死而無憾",643000,53583,"2020","冬番",12,"4.9",2325,"山本裕介","8bit","勵志","偶像","職場",NULL,NULL,NULL,"漫畫改編","新作"
"地縛少年花子君",1751000,145917,"2020","冬番",12,"4.9",2917,"安藤正臣","Lerche","校園","靈異神怪",NULL,NULL,NULL,NULL,"漫畫改編","新作"
"索瑪麗與森林之神",1021000,85083,"2020","冬番",12,"4.9",3714,"安田賢司","SATELIGHT","冒險","奇幻","溫馨",NULL,NULL,NULL,"漫畫改編","新作"
"卡片戰鬥!! 先導者 overdress",78000,6500,"2021","春番",12,"4",128,"森賢","Kinema Citrus、ぎふとアニメーション、STUDIOJEMI","校園","競技","闔家觀賞",NULL,NULL,NULL,"遊戲改編","續作"
"Love All Play",272000,11333,"2022","春番",24,"3.7",666,"竹內浩志","日本アニメーション、OLM","校園","青春","運動","競技",NULL,NULL,"漫畫改編","新作"
