"動畫名","總觀看數","平均觀看數","年份","月份","集數","星級","評分人數","導演監督","製作廠商","作品分類1","作品分類2","作品分類3","作品分類4","作品分類5","作品分類6","原作載體","新續作"
"小碧藍幻想！",232000,19333,"2020","秋番",12,"4.7",494,"森井ケンシロウ","DMM.futureworks、W-Toon Studio","冒險","奇幻","魔法","喜劇","泡麵番",NULL,"遊戲改編","新作"
"咒術迴戰",22381000,932542,"2020","秋番",24,"4.9",20200,"朴性厚","MAPPA","動作","奇幻","超能力","校園","血腥暴力","靈異神怪","漫畫改編","新作"
"黃金神威 第三季",1266000,105500,"2020","秋番",12,"5",3871,"難波日登志","Geno Studio","動作","冒險","料理","歷史",NULL,NULL,"漫畫改編","續作"
"半妖的夜叉姬",1663000,69292,"2020","秋番",24,"3.7",1750,"佐藤照雄","SUNRISE","冒險","靈異神怪",NULL,NULL,NULL,NULL,"漫畫改編","續作"
"D4DJ First Mix",381000,27214,"2020","秋番",14,"4.9",1190,"水島精二","三次元","校園","青春","偶像","音樂",NULL,NULL,"遊戲改編","續作"
"王之逆襲：意志的繼承者",776000,29846,"2020","秋番",26,"4.1",628,"星野真","OLM × SUNRISE BEYOND","冒險","奇幻",NULL,NULL,NULL,NULL,"遊戲改編","新作"
"鐵路浪漫譚",149000,12417,"2020","秋番",12,"4.5",468,"ひらさわひさよし","サエッタ","戀愛","泡麵番",NULL,NULL,NULL,NULL,"遊戲改編","續作"
"彼得・格里爾的賢者時間 Super Extra 年齡限制版",569000,47417,"2022","秋番",12,"4.3",1850,"辰美","WolfsBane×Animation StudiO Seven","奇幻","喜劇","18禁",NULL,NULL,NULL,"漫畫改編","續作"
"土下座跪求給看 年齡限制版",1034000,79539,"2020","秋番",13,"4.5",1725,"永居慎平","アドネロ","動作","喜劇","勵志","18禁",NULL,NULL,"漫畫改編","新作"
"女神宿舍的管理員。 年齡限制版",1127000,112700,"2021","夏番",10,"4.7",2324,"中重俊祐","Asread","校園","喜劇","戀愛","18禁",NULL,NULL,"漫畫改編","新作"
"彼得・格里爾的賢者時間 年齡限制版",1339000,111583,"2020","夏番",12,"4.2",1552,"辰美","Wolfsbane","奇幻","喜劇","18禁",NULL,NULL,NULL,"漫畫改編","新作"
